dt,sleep_score
2020-09-05,89
2020-09-04,60
2020-09-03,70
2020-09-02,72
2020-09-01,96
2020-08-31,78
2020-08-30,62
2020-08-29,72
2020-08-28,73
2020-08-27,75
2020-08-26,77
2020-08-25,89
2020-08-24,73
2020-08-23,78
2020-08-22,86
2020-08-21,80
2020-08-20,75
2020-08-19,70
2020-08-18,56
2020-08-17,88
2020-08-16,81
2020-08-15,88
2020-08-14,69
2020-08-13,90
2020-08-12,78
2020-08-11,84
2020-08-10,80
2020-08-09,58
2020-08-08,73
2020-08-07,73
2020-08-06,76
2020-08-05,89
2020-08-04,80
2020-08-03,83
2020-08-02,72
2020-08-01,84
2020-07-31,70
2020-07-30,78
2020-07-29,61
2020-07-28,60
2020-07-27,84
2020-07-26,68
2020-07-25,90
2020-07-24,66
2020-07-23,50
2020-07-22,53
2020-07-21,85
2020-07-20,48
2020-07-19,81
2020-07-18,78
2020-07-17,84
2020-07-16,88
2020-07-15,71
2020-07-14,65
2020-07-13,82
2020-07-12,89
2020-07-11,68
2020-07-10,67
2020-07-09,65
2020-07-08,95
2020-07-07,76
2020-07-06,95
2020-07-05,86
2020-07-04,94
2020-07-03,83
2020-07-02,74
2020-07-01,85
2020-06-30,92
2020-06-29,75
2020-06-28,85
2020-06-27,81
2020-06-26,86
2020-06-25,76
2020-06-24,78
2020-06-23,82
2020-06-22,75
2020-06-21,83
2020-06-20,79
2020-06-19,64
2020-06-18,78
2020-06-17,91
2020-06-16,83
2020-06-15,78
2020-06-14,89
2020-06-13,73
2020-06-12,89
2020-06-11,72
2020-06-10,82
2020-06-09,90
2020-06-08,90
2020-06-07,72
2020-06-06,88
2020-06-05,79
2020-06-04,77
2020-06-03,83
2020-06-02,81
2020-06-01,73
2020-05-31,90
2020-05-30,80
2020-05-29,75
2020-05-28,66
2020-05-27,75
2020-05-26,81
2020-05-25,51
2020-05-24,79
2020-05-23,82
2020-05-22,87
2020-05-21,70
2020-05-20,79
2020-05-19,90
2020-05-18,84
2020-05-17,78
2020-05-16,69
2020-05-15,78
2020-05-14,75
2020-05-13,91
2020-05-12,87
2020-05-11,88
2020-05-10,93
2020-05-09,78
2020-05-08,88
2020-05-07,95
2020-05-06,92
2020-05-05,89
2020-05-04,42
2020-05-03,77
2020-05-02,97
2020-05-01,87
2020-04-30,90
2020-04-29,73
2020-04-28,82
2020-04-27,98
2020-04-26,95
2020-04-25,91
2020-04-24,71
2020-04-23,94
2020-04-22,76
2020-04-21,86
2020-04-20,90
2020-04-19,88
2020-04-18,77
2020-04-17,80
2020-04-16,71
2020-04-15,71
2020-04-14,81
2020-04-13,77
2020-04-12,82
2020-04-11,80
2020-04-10,66
2020-04-09,81
2020-04-08,86
2020-04-07,84
2020-04-06,83
2020-04-05,82
2020-04-04,77
2020-04-03,74
2020-04-02,73
2020-04-01,72
2020-03-31,85
2020-03-30,72
2020-03-29,79
2020-03-28,71
2020-03-27,73
2020-03-26,78
2020-03-25,80
2020-03-24,60
2020-03-23,88
2020-03-22,94
2020-03-21,68
2020-03-20,55
2020-03-19,54
2020-03-18,63
2020-03-17,72
2020-03-16,66
2020-03-15,90
2020-03-14,89
2020-03-13,80
2020-03-12,73
2020-03-11,90
2020-03-10,88
2020-03-09,81
2020-03-08,83
2020-03-07,87
2020-03-06,62
2020-03-05,96
2020-03-04,71
2020-03-03,77
2020-03-02,87
2020-03-01,80
2020-02-29,100
2020-02-28,97
2020-02-27,90
2020-02-26,88
2020-02-25,79
2020-02-24,73
2020-02-23,94
2020-02-22,59
2020-02-21,89
2020-02-20,100
2020-02-19,99
2020-02-18,90
2020-02-17,100
2020-02-16,93
2020-02-15,100
2020-02-14,74
2020-02-13,91
2020-02-12,99
2020-02-11,88
2020-02-10,83
2020-02-09,89
2020-02-08,98
2020-02-07,93
2020-02-06,100
2020-02-05,100
2020-02-04,92
2020-02-03,70
2020-02-02,100
2020-02-01,90
2020-01-31,87
2020-01-30,61
2020-01-29,92
2020-01-28,96
2020-01-27,100
2020-01-26,94
2020-01-25,88
2020-01-24,66
2020-01-23,86
2020-01-22,93
2020-01-21,82
2020-01-20,89
2020-01-19,91
2020-01-18,88
2020-01-17,82
2020-01-16,97
2020-01-15,85
